owner,study,year,trt_n,date,cum_rate_n_kgha
rosen lab,blcmr,1991,n.8,1991-05-17,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-17,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-18,0
rosen lab,blcmr,1991,n.10,1991-05-18,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-18,0
rosen lab,blcmr,1991,n.3,1991-05-18,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-18,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-18,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-18,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-18,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-18,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-18,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-19,0
rosen lab,blcmr,1991,n.10,1991-05-19,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-19,0
rosen lab,blcmr,1991,n.3,1991-05-19,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-19,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-19,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-19,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-19,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-19,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-19,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-20,0
rosen lab,blcmr,1991,n.10,1991-05-20,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-20,0
rosen lab,blcmr,1991,n.3,1991-05-20,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-20,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-20,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-20,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-20,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-20,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-20,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-21,0
rosen lab,blcmr,1991,n.10,1991-05-21,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-21,0
rosen lab,blcmr,1991,n.3,1991-05-21,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-21,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-21,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-21,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-21,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-21,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-21,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-22,0
rosen lab,blcmr,1991,n.10,1991-05-22,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-22,0
rosen lab,blcmr,1991,n.3,1991-05-22,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-22,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-22,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-22,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-22,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-22,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-22,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-23,0
rosen lab,blcmr,1991,n.10,1991-05-23,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-23,0
rosen lab,blcmr,1991,n.3,1991-05-23,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-23,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-23,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-23,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-23,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-23,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-23,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-24,0
rosen lab,blcmr,1991,n.10,1991-05-24,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-24,0
rosen lab,blcmr,1991,n.3,1991-05-24,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-24,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-24,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-24,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-24,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-24,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-24,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-25,0
rosen lab,blcmr,1991,n.10,1991-05-25,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-25,0
rosen lab,blcmr,1991,n.3,1991-05-25,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-25,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-25,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-25,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-25,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-25,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-25,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-26,0
rosen lab,blcmr,1991,n.10,1991-05-26,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-26,0
rosen lab,blcmr,1991,n.3,1991-05-26,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-26,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-26,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-26,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-26,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-26,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-26,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-27,0
rosen lab,blcmr,1991,n.10,1991-05-27,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-27,0
rosen lab,blcmr,1991,n.3,1991-05-27,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-27,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-27,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-27,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-27,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-27,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-27,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-28,0
rosen lab,blcmr,1991,n.10,1991-05-28,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-28,0
